komentar,sentimen,emosi
Mau ke Italia atau ke Amerika,Netral,Lainnya
Info2 caranya juga donk mbk Yenny🙏🙏🙏,Positif,Lainnya
Piye carane mbak,Netral,Lainnya
"Wah wah kalau semua kabur makai byk untung lo, selain ada peluang penduduk tiongkok datang ke ke Indonesia, ada pendapatan devisa utk Wakanda",Netral,Lainnya
ITALY deh kyknya 😁🤭,Netral,Lainnya
Kerennn....tambah link nya Bu Yeni,Positif,Lainnya
"Mau dong mamy, tolong dong bagai mana prosesnya, YG ENDA RIBET MI SAYA MAU.",Netral,Lainnya
Mau lah ke jepang,Netral,Lainnya
"Pingiiin Mbak yenny.....!!! Qt buat Ormas NU di Negara"" itu... 😍😍😍🙏",Positif,Lainnya
Aku wis kabur nang negara Blambangan...selanjutnya ke negri Entahberantah. .😂,Netral,Lainnya
Info yg bagus Bunda 👍,Positif,Lainnya
Carax piye iki,Netral,Lainnya
"Offshore Turkey ,, lagi banyak Job yg bisa menutupi biaya hidup dan masa depan keluarga",Netral,Lainnya
Saya nyaman di Bali asal Jombang menetap di Bali,Netral,Lainnya
Yg sesuai dg kultur kita mana mbak?,Netral,Lainnya
"Di USA Imigran Gelap Lagi Di Uber ICE.
Klo mau Duit Ya Kerja gak ada yg Free.",Netral,Lainnya
Udah enak di California USA 🇺🇸 ♥️❤️❤️🙏,Positif,Lainnya
"Kalo ada yg mau mengajak aku tinggal dijepang,aku senang sekali asalkan berangkat gratis satu keluarga,anak plus istri,sampe sana ada kerjaan.kalo soal pengalaman ,dijp aku pernah tinggal 7 tahun",Positif,Lainnya
"Pingin dech ank ku ku suruh keluar, tpi gk cukup biaya, skrng tinggal d kota Bontang Kaltim",Netral,Lainnya
Hadeuhh..bisa ga kalo ngasih info itu jgn yg BAGUS nya aja😂😂lucu juga kalo orang2 FOMO ya,Positif,Lainnya
Jeoang dong . Kalo nggak canada,Netral,Lainnya
Umur 40 tahun bisa,Netral,Lainnya
Berdiri di bawah bayang2 ortu 🤭,Marah,Lainnya
"Bu @yennywahid pingin cari cuan di negeri orang,namun apa daya aku sudah di beri amanat almarhumah Ibu tidak boleh kabur kemana-mana, soalnya aku penyakit sejak masih muda sampai sekarang 😭.",Netral,Sedih
mb Yeni mau kemana??,Netral,Lainnya
Akhir2 ini mbak Yeni udah ga Rasional cara berpikirnya semenjak berseberangan sama pemerintah !!! Jgn asal ngomong mbak turun ke bawah lihat Ribuan LPK dan jutaan anak2 usia produktif ikut pelatihan dan bertahun2 ga berangkat akhirnya terlantar !!???? Saya dulu salah satu orang yg mengagumi Gusdur dan jg anak2nya termasuk mbak Yeni ..tp sekarang mbak Yeni sdh ga bs melihat kenyataan yg terjadi di masyarakat bawah !!???,Netral,Lainnya
Trmk mbak Yenny,Netral,Lainnya
Naaahh keren makasih infonya mba 🔥🔥🙏❤️,Positif,Lainnya
Saya sudah umur 65,Netral,Lainnya
"Anak saya insya Alloh berangkat ke jepang, adiknya bentar lagi mau nyusul. Semoga dilancarkan.",Netral,Lainnya
Setujuh bu👍,Positif,Lainnya
"@MbakYennyWahid...anak saya pengin Mbak bs kerja di Korea atau Jepang tp terkendala persyaratan tdk boleh buta warna (partial), apakah memang demikian. Mohon infonya utk sedulur2 yg sdh bs berkarya di LN🙏",Positif,Lainnya
Kereen ke luar negri aj dulu,Netral,Lainnya
Sangat menginspirasiiiiii....apalagi buat kita2 yang sedang proses naikin niat hahahhha,Positif,Lainnya
"Share2 dong spt apa hidup di LN , how to get job, how to have any insurance, how to get scholl, etc",Netral,Lainnya
Teruskan bu bantu masyarakat kita tg kesulitan cr kerja di negeri kita..🙏🏽🙏🏽🙏🏽,Sedih,Lainnya
Kasi tau prosedurnya,Netral,Lainnya
Tenan niki Bu yenni.. Cara nya gimana,Netral,Lainnya
Sepanyol minat bu yeniy,Netral,Lainnya
"Komentar2 nya PDA keren2 udh PDA kabur dluan, nah aq yg msih disini gmn cranya bisa kabur y?? Trhakang bnyak hal",Positif,Lainnya
"Saya mau juga mbak yeni ,ayo rame rame satu kampung",Netral,Lainnya
"Makasih mb yenny,gmn caranya?😊",Positif,Lainnya
"Mau dong
Minta infonya pls",Netral,Lainnya
Ini opsi trimakasih mba yeni..,Netral,Lainnya
Yeny suruh berangkat duluan....hhhhhh,Netral,Lainnya
Kalau org pensiun apa mash di terima mbak yen..,Netral,Lainnya
"Aku salah satu warga yg merasa capek,dan pengen kabur aja dulu,bahkan kalau bisa pindah ja MBK. Tolong bantu saya 🙏",Sedih,Lainnya
Bantu lonknya dong mbak yenny,Netral,Lainnya
"Assalamualaikum mb sy berumur49 thn sy dan sy single,sy pingin baget kerja dan tinggal di luar negri,cuma sy tidak ada biaya, untuk kesana, pendidikan cuma tamat SMK,tapi sy punya skill di bidang memasak,dan jg bisa spa, terapis,dan salon kecantikan.pingin baget sy bisa punya rumah,dn tabungan .untuk hari tua sy nanti.🙏 Info dong kak apa bisa sy bekerja di luar negri.",Positif,Lainnya
"Enak dirumah sendiri, kata pepatah orang tua dulu "" mangan ora mangan senk penting kumpul "" dadi ayem",Marah,Lainnya
Negara Jepun lgi ok sebab dekat dan ramah penduduknya,Netral,Lainnya
Mau...bneran gmana prosesnya?,Netral,Lainnya
Ok banget nih mba @yennywahid 👍 kita rakyat biasa mba nyenggol pemerintah ga berani hanya bisa meratapi nasib negeri aja yg imbasnya pilu bagaimana nasib anak cucu kami saat harus berjuang nanti,Sedih,Sedih
"Ayo berbondong bondong kita tinggalin negara ini, kita nyerah aja serahkan negara ini untuk para penjajah",Netral,Lainnya
"Mau, tapi umur sudah 40, bisa nda ya?",Netral,Lainnya
Bener sekali Mbak yu ku..,Netral,Lainnya
Valid ga infonya bu,Netral,Lainnya
Ya...semua negara yg mau kita dapat subsidi,Netral,Lainnya
Jangan salahkan kalau banyak imigran dari Asia dan Arab membanjiri utk mengisi kekosongan akibat banyak kabur,Marah,Marah
"Mbk Yeni, sy ingin kerja ke luar negri,,tp bagaimana cara nya",Netral,Lainnya
Jepang sepertinya okey......👍,Positif,Lainnya
"Terimakasih infonya, bgs sekali dan peluang bagi yang muda"", trus tetap semangat ya mba yenny salam sehat slalu TUHAN memberkati kita smua amiiin, salam hormat pada bu shinta",Positif,Lainnya
"Iya mbak Yeni, diluar sana SDM nya lebih dihargai.",Netral,Lainnya
Cb Bu Yeni sy mnt tlg dbantu,Netral,Lainnya
"Italia lebih mantab itu Mbak Yenny, Krn boleh usaha sendiri👍😁",Marah,Lainnya
Knp wapres nya bukan mbak yeny sj...pintar & solutif,Netral,Lainnya
Keren amat mbak yeni .. Suport gen Z. 💖💖,Positif,Lainnya
Bgm caranya mba yenni..... Kasih tau dong,Netral,Lainnya
Apa ini benar atau....???????? Tolong di jelaskan,Netral,Lainnya
"Kayanya sy kli mauu atau lebih Tertarik ke Kanada.., info Valid nya mba Yeny..trimks,",Netral,Lainnya
Gmn cara nya ini,Netral,Lainnya
Kanada Neng Yeny,Netral,Lainnya
Kalau bunda yeni yg bicara kita percaya,Netral,Lainnya
"Bagus sih,dari beliau ""mengiklankan"" berarti ada kepedulian beliau kpd masyarakat yg ingin mengubah nasibnya.
Aku juga kalau ongkos memadai,daripada bukavusaha di Indonesia,maunya pindah sekeluarga ke Luar negeri,bahkan kalau bisa ganti WN sekalian",Positif,Lainnya
Canada n Jepang🔥,Netral,Lainnya
Asli kalau masih muda pindahhh buat opung aja di indomah duhhhh kita yg harus pergiii bukannyadia dia dia😂😂😂,Sedih,Lainnya
Mbak yeni❤️,Positif,Lainnya
"Ini solusi sangat bagus dr MB Yenny,,selagi msh muda kejarlah impianmu utk bekerja diluar negri,,5 th di luar negri kamu akan kaya dan menjadi manusia yg dihargai,,di Indonesia 35 th bekerja belum tentu punya apa2 boro2 mau beli rumah dan mobil makan az kurang dgn gaji hanya UMR melulu dan bahkan kebanyakan di bawah UMR!!!",Positif,Lainnya
Otw balik japan lagi 🔥🔥🔥,Netral,Lainnya
Mau dong ikut kalau mbak yenny yg urus hehehe,Netral,Lainnya
"Wkwkwkwkwk darimana dapat berita buk , memangnya sdh pasti atau cuma sekedar dapat info saja...🤣🤣🤣🤣🤣🤣atau cuma nyari pengikut baru saja..",Netral,Lainnya
Aku SDH jenuh nganggur terus kalo bisa kesana gratis sama anak istri aku ndaftar,Netral,Lainnya
Mba Yeni minta linknya mba🙏,Positif,Lainnya
Jepang mungkin ya,Netral,Lainnya
Smua coment ngk ada jawaban ug jelas,Netral,Lainnya
Siap di coba ni 🥰🥰🥰,Positif,Lainnya
"Klo di konoha rakyat y dimiskinkan,negara konoha subur dan kaya,tapi itu untuk pejabat y",Netral,Lainnya
Klo gak punya modal gimana mba? Tapi udah mumet disini...😓,Netral,Lainnya
"Aku pengin itu....
Caranya bagaimana ??
Apakah Saya boleh langsung hub.mbak Yenny?? Infonya pihak² legal yang Bisa membantu Saya ke Sana..,🙏",Positif,Lainnya
Pengen sih. tapi takut gak bisa sholat jama'ah sama ngaji. 😁,Takut,Takut
"@yennywahid saya suka dengan statement Mbak Yenny , Nasionalis bukan slogan tapi keteladanan buat negara bukan yang lain.",Positif,Lainnya
"Ning yenny, bisa bantu kah, gimana bisa kerja di luar negeri? Terkendala usia, dan modal, juga tidak punya kenalan di LN",Netral,Lainnya
"Mbak Yeni, apakah bisa memfasilitasi warga yg ingin kabur ke negara-negara tujuan 😄krn sy yakin tidak semua orang mampu. Mengikuti Syarat dan. Ketentuan. Misalnya kendala Bahasa.. Please.. Uluran tangan mbak Yeni sangat dinanti",Netral,Lainnya
Mau Bu Yeni..tolong bantu dong,Netral,Lainnya
"Italia, karena bisa buka usaha",Netral,Lainnya
Maksimum usia brp,Netral,Lainnya
Salam dari Amrik Arkansas,Netral,Lainnya
"Luar biasa, ini info bagi yg belum kerja yg susah cari kerja di negara sendiri",Positif,Lainnya
"Tunggu dulu Mbak Yeni, saya belum jadi pejabat, biar korupsi dulu, baru kabur.",Netral,Lainnya
Koq promosi negara lain? Anda sdri yg mana? Canada ya..?,Netral,Lainnya
Ini kenapa rata2 yang komen bahagia dinegara lain. Semoga nalar masyarakat semakin baik bisa membedakan pemerintah yg benar kerja u/ rakyat atau punya tujuan memperkaya diri dan golongan.,Positif,Lainnya
pingin ke jepang mbak yenny,Netral,Lainnya
Kualifikaasi nya apa ya mbak ?,Netral,Lainnya
Kasih tau caranya dong mbk....itu lebih bermanfaat 🙏,Positif,Lainnya
Cara nya macam mana Bu,Netral,Lainnya
Mantap saya hidup d Australia hidup saya lumayan terjamin d bali banyak teman saudara susahhidup orang tua saya umur 70 sepada aja gak punya bayangin,Positif,Lainnya
Aku mau dong mba,Netral,Lainnya
Cara nya mbk yeni??,Netral,Lainnya
Australia gmn bun? Rekomendid ga? Caranya gimana klu mau tinggal di LN?,Netral,Lainnya
"Bu Yeni Bantu dong aku punya skill merawat jompo dengan menggunakan alat medis, penginnya di ausie",Netral,Lainnya
Bu tolong buka link atau Chanel ke eropa dong....,Netral,Lainnya
Saya mau sekeluarga kesana,Netral,Lainnya
Jngan keras2 ngomongin duit .... Ada yg ngenduss,Netral,Lainnya
"Karena saya seorang pedagang,kayaknya Italia pilihan yg cocok...caranya gimana",Netral,Lainnya
Info pendaftaran ke Jepang mbk,Netral,Lainnya
ikut lah ke amrik jadi tukang kebun atau driver,Netral,Lainnya
Kalau kabur aja pengen ke Kanada,Netral,Lainnya
Di konoha sekolah tinggi lbh banyak jd pengangguran ... Mending kabur aja dulu kumpulin duit ...jaman dah berubah ! Ubah mindset kalian ...,Netral,Lainnya
"Mba yenny saya mau dong ke Kanada, kerja , gimana cara nya ?",Netral,Lainnya
Saya mau ke spanyol bagaimana caraaanya,Netral,Lainnya
Ponda yu teman2,Netral,Lainnya
"Semua kabur nanti cino cino Isriwil leluasa...... Nggak deh, matur swn mb Yany...",Netral,Lainnya
mantap tu mbak Yeny mau lah🥰,Positif,Lainnya
"Di Indonesia aja ah, ntar klo dijajah sama TKA, siapa coba yg jagain..hee..hee..",Netral,Lainnya
Informasi yg sangat bermanfaat,Netral,Lainnya
Spain lbh menarik.,Positif,Lainnya
"Mbak yenny saya tolongin dong
Anakku mau juga",Netral,Lainnya
Kategori umur berapa,Netral,Lainnya
Makasih info y mbak yeni,Netral,Lainnya
"Mau, tp Blm punya ongkosnya mba 🙏🤔",Positif,Lainnya
Canada 🇨🇦 & Japan 👍,Positif,Lainnya
Kenapa harus keluar negri....?!?!?! Bukahkan ada pejabat yang katanya akan membuka 19 JT lapangan kerja padahal dia sendiri kerja dicariin bapaknya siapakah dia.....?!?!?!,Marah,Lainnya
Bikinkan lembaga penyalur mbak.. selain penghasilan tinggi biar mereka bisa belajar cara berpenghasilan besar tanpa Korupsi,Netral,Lainnya
Ayo pindah aja dulu.........serbuuuuuuu,Netral,Lainnya
Boleh ajarin caranya bu,Netral,Lainnya
Kami terlalu sengsara bolehkan dapat kesempatan jika itu lebih baik,Sedih,Lainnya
Aku mau dong gimana caranya?,Netral,Lainnya
Mending kabur aja dulu tp jadi pahlawan devisa. Daripada sok NKRI harga mati tp hidupnya ngarep bansos ujungnya jadi beban negara,Sedih,Lainnya
"10000ribu di USA ayak2 wae mbak nya ini, ngimpi x 🤦‍♂️🤦‍♂️🤦‍♂️",Netral,Lainnya
"Tolong dibantu kita Mbak @yennywahid
Terima kasih",Netral,Lainnya
"Saya mau, minta link nya dong",Netral,Lainnya
Saya mau fong dimana aja,Netral,Lainnya
Bu Yeni aku mau ke Kanada bagai mana caranya,Netral,Lainnya
Mu ke italia gimana caranya?,Netral,Lainnya
"Mba yeni sy sekeluarga mau donk,cariin sih mba mau cari kerjaan dinegara mana aja yg penting salary klo bisa diatas 50jt perbulannya ditunggu infonya serius nih mba",Netral,Lainnya
"Mau dong pindah, capek di negara sendiri udah gkda keadilan😳 #kaburajadulu",Marah,Takut
Mau dong. Ke itali aja,Netral,Lainnya
"Aku dah kabur duluan mbk yeni,",Netral,Lainnya
kalah sama anak.pak.jokowi jadi wapres mbak yeni belum bis jadi wapres,Netral,Lainnya
Bantu dong mba yenny wahid... Canada enk tuh ☺🙏,Positif,Lainnya
Please give me a link or address of it,Netral,Lainnya
Masyaa Alloh mau dong Mbak Yenni,Netral,Lainnya
Kontribusi negara terhadap rakyat suram,Netral,Lainnya
"Mau di Kanada , gimna caranya Bu",Netral,Lainnya
Mau dunk ke jepang mbak yeni,Netral,Lainnya
Mbak bantu sekalian link info loker yg resmi biar org indo yg mau kaburajadulu gak terjebak/tertipu human trafiking dong.. Makasih,Netral,Lainnya
Mba @yennywahid kalau ASN bisa #kaburajadulu juga? Tdk pernah lihat yg buat konten ttg ASN yg keluar negeri dan kerja apa disana.😁,Netral,Lainnya
Mbak Yeny selalu solutif...,Netral,Lainnya
"Di kampungku banyak sekali yg hidupnya jadi lebih layak karena pernah kerja di luar negri meskipun hanya sebagai buruh pabrik/ART,",Netral,Lainnya
"ayoo rame"" posting negara"" yg bisa memberi fasilitas kepada warga"" pendatang biar habis penduduk nya diganti sma pendatang dari negara kutup",Netral,Lainnya
Assalammualaikum jepang mbak Yeni .. pripun caranya,Netral,Lainnya
"Benar aw tidak berita nya, banyak org yg tidak kerja di Indonesia",Netral,Lainnya
"Mauuuuu...
Buka salon disana 🤭😉",Netral,Lainnya
Italia mba yenny,Netral,Lainnya
Bagaimana caranya mbak yeni???,Netral,Lainnya
Italia saja...banyak matahari...👍,Positif,Lainnya
Mantap bunda Yenny Impo nya 🌹 sehat selalu bunda❤️,Positif,Lainnya
Mau lho saya. Rekomendasi lah Negara mana aja saya mau. Asal jelas.,Netral,Lainnya
US kayaknya agak sulit tuh,Sedih,Lainnya
Kereen mbak yenny... Kasi solusi bagi gen Z .. Semoga banyak terbantu dari kesulitan mencari pekerjaan di negri ini,Sedih,Lainnya
Gimana caranya bu @yennywahid,Netral,Lainnya
"Desa di Jepang mbk, tpi bisa gk yaa klo usia hampir 50😁",Netral,Lainnya
Negara Jepang mba Yenny. Bagaimana prosesnya?,Netral,Lainnya
"Kasih tau mba,
Cara2 nya dan bagaimana Utk mendapatkan visanya,
Kasih info dan caranya yg jelas mba…
Kasian buat orang2 yg pengen kerja di LN.",Netral,Lainnya
"Gimana cara Mba, skalian biar anak saya nglanjutin kuliah S2",Netral,Lainnya
Kami suami istri oengen bangt kerja keluar negeri kmna aja yg pnting ramah sm warga imigran pengeeen bangt tp gk tau jalurnya,Netral,Lainnya
"Tapi buat sy yg sdh terlalu lama tinggal di Jerman,
Sy sudah 30 tahun,
tapi lama2 bosen juga tinggal di Eropa.
Malah sy kangen terus sama kampung halaman Indonesia 🇮🇩 tercinta 😍",Positif,Lainnya
Jepang mbak Yenny karena Indnesia umur menjadi patokan.,Netral,Lainnya
Nyatanya ngak senyata iklan,Netral,Lainnya
Mau mba yeni bisa bantu kah,Netral,Lainnya
"Ingin pindah dan kerja.gimana cara nya,kita gak punya modal buat pindah",Netral,Lainnya
Mau dong Bu..sy diindo SDH TDK mau krn melarat buu,Netral,Lainnya
"Bagus tanggapan dan sarapan ibu Yenny, saya tidak bisa sekolahkan anak di tanah air alias kerja aja sulit bu, tapi sekarang putri saya bisa 🧑🏻‍🎓 di University yg bagus…. Bukan tidak cinta tanah air, tapi apa yang tanah air berikan kpd kami, yg isinya hanya makan uang !!rakyat !! Kami sangat mencintai tanah air bu Yenny, INDONESIA 🇮🇩 ❤️❤️❤️",Positif,Lainnya
"Mbak Yeni saya MW krja di luar negeri tpi saya ngak TW bagaimna cara ny
Tlong di bntu mbak Yeni
Di negara ap ajj sya MW dan krja apa ajj saya sanggup.",Netral,Lainnya
"susah senang, mati hidup tetap Indonesia. apapun keadaannya tetap Indonesia. i love you Indonesia.",Positif,Lainnya
Gimana caranya mba aku mau,Netral,Lainnya
Gimana caranya mba pindah ke luar negeri,Netral,Lainnya
"Minta link yang ke Jepang dong....
Pengen #KaburAjaDulu ke Jepang",Netral,Lainnya
"Saya mau Bu, tapi bagaimana caranya
Di indonesia ini saya tidak punya apa-apa, tolong Bu beeikan saya solusinya 🙏🙏🙏",Positif,Lainnya
Ada2 aja nih postingan.klo kita pindah.negara kita diisi sama org2 taipan gmn.enak org2 taipan tinggal masukin warganya ke negara kita karena kita smua pada pergi,Sedih,Lainnya
"bsa ""LOLOS"" kan Sy k Luar NEGRI Tak Mbk Yeny ?...",Netral,Lainnya
"Saya sdh mulai di Ukraina ya mbak, by the way kalau saya pulang ke tanah air, boleh mampir gak ke rumah nya mbak,..saya tau rumah nya",Netral,Lainnya
Terimakasih Mbak Yenny...sudah bisa berbagi peluang kerja...👍👍👍,Positif,Lainnya
"You bawa Gusdurian pindah kesana. Biar taraf hidup Gusdurian meningkat. Dan jangan lupa, sampeyan yang jadi sponsor mereka. Jadikan nama Gus Dur sebagai garansi. Siapa tahu di negara tujuan bisa diberi karpet merah.",Netral,Lainnya
Italy … gimana cara nya ?,Netral,Lainnya
"Sehat Selalu ning Yenny, salam santun dari Anak abah. 🙏",Positif,Lainnya
Ayok pak @aja7395 😁 kabur ke LN,Netral,Lainnya
"Sy mau dn sy ingin,, serius bu yeni sy dari serang banten",Netral,Lainnya
Alhamdulillah. Terimakasih pencerahannya mbk semoga para gen Z bisa ada harapan baru,Positif,Lainnya
Saya tetap di negeri tercinta . Sampai akhir hayat.. apapun yang terjadi.. tapi kurang elok mbak Yeni.. paparan kaya gitu.. Indonesia penuh harapan dan optimisme..... Tidak gelap..,Netral,Lainnya
Gimana cara nya mbak ?,Netral,Lainnya
Bgmn dng geladangan dan morphinis yng hidup dijalanan USA...? Tidak Ngurus warganya !!!,Netral,Lainnya
Bener gk nihhhhhh....klo bener q mau mbak.....,Netral,Lainnya
Cara nya gmn mba?? Minta petunjuknya suhu..,Netral,Lainnya
Perlu disosialisasikan dan difasilitasi negara melalui kelurahan kelurahan untuk mengatasi pengangguran,Positif,Lainnya
"Mau dong mba, aku pingin ke canada.",Netral,Lainnya
"Tuuuh anak Alm Gusdur mba Yenni kasih pencerahan
Untuk kalian pindah
Thanks mba yeni",Netral,Lainnya
"pingin kabur usianya sudah 43 apakah msh dibilang usia produktif,karna di negara kita sendiri sudah tidak terpakai untuk bekerja",Marah,Lainnya
"Kabur aja dulu, ke Yordania mbak?
🤭",Netral,Lainnya
Saya sudah 3 tahun pindah ke Australia mba,Netral,Lainnya
Emb yenni saja pindah ke kanada hehe,Netral,Lainnya
Pilih jepang😁😁,Netral,Lainnya
Kira kira yaqut kabur ke mana,Netral,Lainnya
Usia udah 47 bisa gak ya,Netral,Lainnya
Assalamualaikum mba caranya bagaimana keluar negeri krn belum pernah keluar negeri mohon solusinya makasih,Netral,Lainnya
Daftar ke Canada ato Australia,Netral,Lainnya
Mau dong mba caranya gimana,Netral,Lainnya
"makasih infonya mb Yeni

caranya mb",Netral,Lainnya
"Kemana mbak Yang cocok, umurku 60 tahun🫢",Netral,Lainnya
Umur kepala 5 apa masih bisa Bu ?,Netral,Lainnya
Mbak Yenni ngg capek ya.... mbak Yenni menikmati kekurangan negara kita ya? Sama mbak saya juga menikmati semua kekurangan negara kita. Saya masih setia dsn cinta dengan Indonesia. Kita membantu negara2 lain yg sdg kesusahan...lha negara sendiri kamu tinggalkan.... iiih kamu jahab....,Marah,Lainnya
"Rame2, tinggalin Indonesia
Tp yg luar negeri rame2 pengin tinggal di indonesia",Netral,Lainnya
Silahkan Kalau mau Pindah ke luar Negri,Netral,Lainnya
Orang orang atau golongan tertentu yang takut akan efisiensi dan perubahan adalah orang orang yang kesehariannya menjalankan praktek praktek KKN move on lah jangan menjadi bagian dari orang orang yang membuat gaduh negeri ini,Takut,Takut
Kasih tau gmana caranya berangkat ...?,Netral,Lainnya
"Memang Enak hidup di luar negeri..,tapi di sini bisa hidup se-enaknya 😉✌ .",Netral,Lainnya
Yang mau kabur pasti orang yg gagal atau bermasalah,Netral,Lainnya
Ikut bu tolong bantu going to abroad,Netral,Lainnya
"Tak segampang itu fergzo..
mereka tak asal terima pendatang dengan mudah",Netral,Lainnya
Kl kita bisa bahasa setempat bagaimana ya mba ???,Netral,Lainnya
Sehidup semati pingin di negri kelahiranku aja INDONESiA apapun yg terjadi tetap di syukuri Alkhamdulillah,Positif,Lainnya
Negara pilihan saya Jepang karena saya pernah 3 thn magang disana,Netral,Lainnya
lumayan bisa sekalian syiar agama islam !..,Netral,Lainnya
Saya pengen ke canada kak tapi bgm mn caranya..? Modalnya pasti besar,Netral,Lainnya
Sp yg bs ba tu bu?,Netral,Lainnya
"@yennywahid mau dong Mbak Yeni,di Indonesia sangat sulit mendapatkan pekerjaan dg upah yg layak,heran hidup di negara sendiri jauh dari kata sejahtera...🙄🤔",Marah,Lainnya
Japan mom💝,Netral,Lainnya
"Jepang, Krn msh kawasan asia.",Netral,Lainnya
"Aku mau ke spanyol aja,bgmana caranya mbak Yenni",Netral,Lainnya
Mau Donks Bu🙏,Positif,Lainnya
"ngapain promosi ke negeri org bu...lbh baik promosi ke negerinya harusnya.diajari rakyat hidup apadnya penuh bersyukur,klu tdk mau capek jgn hidup didunia..dunia tmpat ujian bukan tmpat santai,mo dimanapun smuanya bumi Alloh SWT.kok diajak kabur .anda ini gimana!!",Positif,Lainnya
"sekalian jadi warganegara Jepang, yg sudah pasti masuk piala dunia..",Netral,Lainnya
Negara Solo..Mau buka usaha martabak bisa punya asset puluhan M.😂😂,Netral,Lainnya
Apa benar ini buk yeny ...hhh,Netral,Lainnya
Mba Yeni.. kok ga rekomendasikan Saudi Arabia?,Positif,Lainnya
"Wah mba Yenny, tk sdh mau kasih info",Netral,Lainnya
Harusnya para penyelenggara / pejabat2 negara malu kalau sampai warga negaranya kabur dari negaranya karena tidak dapat kerja dan susah cari kerja di negeri sendiri.,Marah,Lainnya
Cuma Jepang Recommended,Netral,Lainnya
Bondo gawe budale gk ono mbak yen🥴,Netral,Lainnya
Caranya gmn kak?,Netral,Lainnya
"Pilihan yg realistis, utk kerja diluar negeri jika kesempatan kerja di dalam negeri sangat terbatas, apalagi pemerintah kita pun sdg buntu utk menciptakan lapangan kerja",Netral,Lainnya
Aq mau tapi gmn caranya ?,Netral,Lainnya
Solosi caranya juga dong but,Netral,Lainnya
"Mbaaaaak ya Allah, saya dulu di tinggal meninggal Gus dur sampai nangis, saya merasa seperti kehilangan bapak,,dalam hati saya, yaaa saya gak punya bapak lagi, ... presiden tapi serasa orang tua, ya ayah nya mbak Yeni, ..... padahal saya gak ikutin politik, kok bisa y perasaan saya begitu. mbak kok gak ikut politik sih mbak, padahal pantes lho mbak Yeni....",Sedih,Sedih
"Cinta bumi Indonesia Bu Yeni,,,,, saya orangnya nggak bisa banget jauh dari keluarga Bu Yeni 😍😍😍 terus maju pantang mundur tetap semangat dan terus berjuang demi Indonesia merdeka dan sejahtera❤️❤️❤️",Positif,Lainnya
Mau ke Italia ibu🙏,Positif,Lainnya
Keren Bu🙏,Positif,Lainnya
Info caranya juga dong mbak 🙏🏽,Positif,Lainnya
Spanyol jgn lah... pajaknya lebih tinggi daripada penghasilan kita. 55% dari gaji kita.,Netral,Lainnya
Wah mantap ni,Positif,Lainnya
Syarat nya apa?,Netral,Lainnya
"Makasih mbak Yeni
💪💪💰💰",Positif,Lainnya
Usia diatas 50 bisa ga bu.?,Netral,Lainnya
Nomer yang Bisa diHubungi mbak Yenny ?,Netral,Lainnya
Gimna caranya ksna mba🙏,Positif,Lainnya
"Super @yennywahid memang openminded bgts. Salut saya, krn emang skrg negara kita sdh tidak baik baik saja makin tersiksa rakyat kecil 🙏🙏",Positif,Lainnya
"Mau dong,kerja luar negeri",Netral,Lainnya
"kasih linknya kak, mungkin buat yg baru niat, klo buat ongkos bs ga di tanggung dari sana, nanti sistem potong gaji, sebab cari di indo sudah tak lagi bisa di harapkan",Netral,Lainnya
"realistis
banyak orang pinter lebih dihargai di luar negeri",Netral,Lainnya
"Saya seorang guru usia 42 thn, ingin pindah kerja aja, pengennya di jpng",Netral,Lainnya
Untuk yg mau kerja ke salah satu negara gimana caranya,Netral,Lainnya
Umur 50 + bisa kesana apa gak ya ???🤭,Netral,Lainnya
"Sy skr di Malaysia usaha disini , tapi pingin ke USA, ada yg bisa bantu caranya",Netral,Lainnya
Mau banget dong mbak Yeni ❤️,Positif,Lainnya
Indonesia ku sedang tidak baik baik saja,Netral,Lainnya
Syarat y apa bu,Netral,Lainnya
Bagaimana mbak yen..🤦🤦,Netral,Lainnya
Saya mw ke USA aja dech....smg pengurusan visanya tdk sulit njeh mbak Yenny...salam sehat,Sedih,Lainnya
Ibu kalau di indonesia kabur ke daerah lain.. ada gak yg jamin seperti negara2 yg ibu sebutkan? 🙏,Positif,Lainnya
Boleh di coba ada yang bisa bantu kabur dari Indonesia,Netral,Lainnya
Loh...lohh...lohhh gak bahaya tah....,Netral,Takut
Maksimal usia brp tuh,Netral,Lainnya
https://www.kompas.com/properti/read/2024/11/29/143110821/45-kawasan-transmigrasi-masuk-prioritas-pembangunan-2025-2029?utm_source=Various&utm_medium=Referral&utm_campaign=Bottom_Mobile,Netral,Lainnya
"Waah boleh nih bu Yenny, gimn caranya , mungkin bs memperbaiki sosial ekonomi 🙏",Positif,Lainnya
Mau ikut kabuurrrr,Netral,Lainnya
Mba ada gak info loker diluar negeri,Netral,Lainnya
Saya mau kabur aja dulu ke planet mars 😂😂😂,Netral,Lainnya
I love Indonesia ❤️❤️❤️,Positif,Lainnya
Ayo cepat kahur aja sesuai pilihan,Netral,Lainnya
"Seandainya dylu bapak gusdur tidak di lengserkan, indonesia baik² saja",Netral,Lainnya
Adakan pemimpin seperti bapak gusdU?,Netral,Lainnya
Mantabb bu Yeni,Netral,Lainnya
Konoha negri LUMBUNG MALING,Netral,Lainnya
